CURRENCY,EUR-Euro,USD-US Dollar,JPY-Japanese Yen,CYP-Cypriot Pound,CZK-Czech Koruna,DKK-Danish Krone,EEK-Estonian kroon,GBP-British Pound,HUF-Hungarian Forint,LTL-Lithuanian Litas,LVL-Latvian lats,MTL-Maltese Lira,PLN-Polish Zloty,ROL-Romanian Old Leu,SEK-Swedish krona,SIT-Slovenian Tolar,SKK-Slovak Koruna,CHF-Swiss Franc,ISK-Iceland Krona,NOK-Norwegian Kroner,TRL-Turkish Old Lira,AUD-Australian Dollar,CAD-Canadian Dollar,HKD-Hong Kong Dollar,KRW-Korean Won,NZD-New Zealand Dollar,SGD-Singapore Dollar,ZAR-South African Rand,BGN-Bulgarian Lev,TRY-Turkish Lira,HRK-Croatian Kuna,RUB-Russian Rouble,CNY-Chinese Yuan Renminbi,IDR-Indonesian Rupiah,MYR-Malaysian Ringgit,PHP-Philippine Peso,THB-Thai Baht,RON-Romanian New Leu,BRL-Brazilian Real,MXN-Mexican peso,INR-Indian Rupee,AED-Utd. Arab Emir. Dirham
AUD-Australian Dollar,1.72223,1.5847,0.01067,2.9426,0.06876,0.2308,0.11007,2.04978,0.00431,0.49879,2.45051,4.01171,0.41173,0.00003,0.15586,0.00719,0.05717,1.78488,0.01173,0.14832,0,1,1.09945,0.20329,0.00109,0.90848,1.18279,0.08676,0.87905,0.04307,0.22819,0.01848,0.21851,0.0001,0.3552,0.02755,0.04691,0.34512,0.27522,0.07924,0.01817,0.43017
CAD-Canadian Dollar,1.56508,1.44033,0.00969,2.67409,0.0625,0.20977,0.10003,1.86305,0.00392,0.45328,2.2269,3.64564,0.37422,0.00003,0.14166,0.00653,0.05195,1.62285,0.01067,0.13485,0,0.90864,1,0.18483,0.00099,0.82512,1.07542,0.07889,0.7988,0.03916,0.20736,0.0168,0.19867,0.00009,0.32295,0.02505,0.04265,0.31379,0.25023,0.07205,0.01652,0.39112
HKD-Hong Kong Dollar,8.44577,7.77248,0.05232,14.4304,0.33726,1.13198,0.53978,10.0536,0.02113,2.44606,12.0172,19.6733,2.01939,0.00017,0.76444,0.03524,0.28035,8.77933,0.05771,0.72953,0,4.91561,5.40791,1,0.00535,4.46374,5.81782,0.42677,4.32086,0.21186,1.12162,0.09088,1.07479,0.00048,1.74712,0.13549,0.23074,1.69755,1.35371,0.38977,0.08938,2.11587
KRW-Korean Won,1578.62,1452.8,9.77886,2697.23,63.0385,211.585,100.892,1879.17,3.95036,457.2,2246.18,3677.2,377.455,0.03169,142.885,6.58747,52.4006,1638.14,10.7677,136.124,0.00004,917.208,1009.07,186.574,1,832.893,1085.55,79.6319,806.332,39.5319,209.31,16.9571,200.547,0.08873,325.998,25.2811,43.0544,316.748,252.591,72.7282,16.6778,394.803
NZD-New Zealand Dollar,1.89615,1.74502,0.01175,3.23977,0.07572,0.25415,0.12119,2.25716,0.00474,0.54916,2.69798,4.41685,0.45338,0.00004,0.17163,0.00791,0.06294,1.96408,0.01291,0.16321,0,1.09979,1.20983,0.2237,0.0012,1,1.30154,0.009548,0.96676,0.0474,0.25096,0.02033,0.24045,0.00011,0.3906,0.03031,0.05162,0.37977,0.30285,0.0872,0.02,0.47335
SGD-Singapore Dollar,1.45028,1.33469,0.00898,2.47795,0.05791,0.19438,0.09269,1.7264,0.00363,0.42003,2.06356,3.37825,0.34677,0.00003,0.13127,0.00605,0.04814,1.5051,0.00989,0.12507,0,0.84272,0.92711,0.17142,0.00092,0.76525,1,0.07316,0.74084,0.03632,0.19231,0.01558,0.18426,0.0008,0.29952,0.02323,0.03954,0.29102,0.23208,0.06682,0.01532,0.36274
ZAR-South African Rand,19.797,18.2168,0.12262,33.8252,0.79045,2.65309,1.26526,23.5632,0.04953,5.73361,28.1686,46.1146,4.73295,0.00004,1.79165,0.08261,0.65714,20.5041,0.13478,1.70383,0,11.4804,12.6302,2.33529,0.0125,10.4251,13.5875,1,10.1036,0.49481,2.62273,0.21225,2.51018,0.00111,4.08041,0.31644,0.5389,3.96464,3.1616,0.91032,0.20875,4.94162
BGN-Bulgarian Lev,1.95583,1.79954,0.01211,3.34173,0.07809,0.26212,0.125,2.32789,0.00489,0.56645,2.7829,4.55586,0.46765,0.00004,0.17701,0.00816,0.06492,2.03072,0.01334,0.16875,0,1.13676,1.25047,0.23117,0.00124,1.03215,1.34526,0.09869,1,0.04899,0.25958,0.02101,0.24852,0.00011,0.40399,0.03133,0.05335,0.39253,0.31302,0.09013,0.02067,0.48925
TRY-Turkish Lira,39.824,36.6498,0.24669,68.0433,1.59028,5.33768,2.54522,47.406,0.09966,11.5338,56.6644,92.7649,9.52209,0.0008,3.60458,0.16618,1.32191,41.2143,0.27091,3.424777,0,23.0762,25.3872,4.69404,0.02512,20.9549,27.3115,2.00347,20.2866,1,5.26606,0.42663,5.04558,0.00223,8.20181,0.63605,1.08321,7.9691,6.35496,1.82978,0.4196,9.93289
HRK-Croatian Kuna,7.5345,6.93241,0.04667,12.8735,0.30084,1.00979,0.48154,8.96781,0.01885,2.18214,10.7206,17.5507,1.80154,0.00015,0.68188,0.03144,0.2501,7.82301,0.0514,0.65008,0,4.37917,4.81723,0.89056,0.00477,3.97619,5.18237,0.38018,3.85233,0.18872,1,0.08095,0.9574,0.00042,1.5563,0.12069,0.20554,1.51214,1.20586,0.3472,0.07962,1.88477
